PATRICIA BINGHAM
ardelle LUND
orlando SHARKEY
ELLIE jenks
RANDELL ballesteros
TOMI SOMERS
MELANIA HALES
gregorio KIMMEL
ELLIOTT hodgson
IRIS BORDEN
PIPER roche
KATHERINE chaffin
prudence SARGENT
FREDERICK otero
diamond STOCK
MABELLE MCKENNEY
keila MAZUR
malisa PICHARDO
ELVIRA PITT
assunta SHIN
MICHEAL HANSON
ILEEN WHEAT
arminda MULLER
CHESTER SMALL
aleida AREVALO
jeanmarie HAGAN
ashlie RUDY
maxine THAI
RONALD barron
SHEBA WEST
JACLYN terrell
GINGER runyon
BART MAYNARD
ELICIA herndon
emelia ARANDA
JOSEFINE FORBES
DARCIE BENNER
BETTYANN brittain
REFUGIO LOW
stella JARAMILLO
AGNUS cartwright
DARNELL christ
JACQUIE concepcion
loriann BURCHETT
barb PETTIS

